"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-2.27495033515926,-2.25310306067363,-2.57564117007359,-3.09503587943819,-2.73722788261211,-2.88292526324293,-3.04878570077752,-3.24931902059252,-2.32695602752582,-3.13607577423134,-2.30267002721024,-2.51218236339331,-2.98592076941053,-2.1489105917417,-2.70538746193745,-2.00976624238094,-2.5425328439866,-3.89046011731196
-2.2841329075148,-2.2622561992287,-2.58522884898107,-3.10532331429221,-2.74703325966117,-2.8929269314876,-3.0590108249515,-3.25981431383156,-2.33620866469302,-3.14641850019616,-2.31188994499691,-2.52168454724946,-2.99606119863334,-2.15792335670728,-2.71514994189245,-2.01859154474026,-2.55207591761096,-3.90181918965178
-2.27505797665873,-2.25316097459518,-2.57643322769707,-3.0970101550495,-2.73838773512204,-2.88441674420625,-3.05065470424769,-3.25164446709835,-2.3271820415537,-3.13814346261904,-2.3028407627651,-2.51282997953252,-2.98764668314311,-2.14873134843244,-2.70647484101363,-2.00927028627166,-2.54324954223898,-3.89424489431079
-2.25525745349876,-2.23334876850337,-2.55679350036221,-3.07764817645571,-2.71883441703466,-2.86494133847207,-3.03126799315535,-3.23236499213321,-2.30740932868005,-3.11880343030023,-2.28305506283961,-2.49315631730508,-2.96822635473579,-2.12886342493236,-2.68690449611293,-1.98932795468238,-2.52359211007247,-3.87530827253468
-2.23396323481975,-2.21205092289296,-2.53554920026824,-3.05649010263126,-2.69761694243425,-2.84374805152968,-3.01010224120038,-3.21123253131457,-2.28612374362161,-3.09765216963149,-2.26176544598961,-2.47190148222478,-2.9470501663855,-2.10754828201849,-2.66568173558902,-1.96798971199881,-2.50234231356625,-3.85428224946753
-2.22112999282853,-2.19922153217097,-2.52266295206061,-3.04351229477107,-2.6847022094866,-2.8308076348365,-2.99713258638875,-3.19822752619853,-2.27328133399152,-3.08466712719913,-2.24892731753088,-2.4590264206276,-2.93409159349514,-2.09473725849602,-2.65277261551691,-1.95520321704402,-2.48946190174234,-3.84116422306922
-2.22558499636067,-2.20368726726516,-2.52697025376592,-3.04756446549629,-2.68893013846132,-2.83496399605196,-3.00120747558453,-3.20220391176787,-2.27771079189714,-3.08869913878835,-2.25336870492085,-2.46336489382399,-2.93819736246551,-2.09925417379331,-2.65701618476979,-1.95978848119737,-2.49378546653146,-3.84482567482535
-2.25279390343747,-2.23091317114557,-2.55394522854732,-3.07413536013136,-2.71577940156089,-2.8616999090965,-3.02781435206273,-3.22865477677396,-2.30487923944017,-3.11523810509147,-2.28055604655422,-2.49038923846501,-2.96485314677856,-2.12656113762164,-2.68389021916875,-1.98720369693516,-2.52078619902084,-3.8707777430907
-2.30319541219483,-2.28133731281899,-2.60403523344041,-3.12368729255842,-2.7657020089828,-2.9114715797694,-3.07741419785364,-3.2780468779422,-2.35522687234814,-3.16474752180361,-2.33092883880218,-2.54054498418292,-3.01451811816285,-2.17709321858996,-2.73384581201266,-2.03787992597014,-2.57091050283601,-3.91950564732978
-2.37198108226427,-2.35015061185882,-2.67244063739569,-3.19143584839957,-2.8339030636725,-2.97948837950237,-3.14522124359097,-3.34560032091738,-2.42394677385979,-3.23244417688987,-2.39967945339816,-2.60903064077986,-3.08240466550247,-2.24603828375195,-2.80208713342032,-2.10700095885345,-2.63935777695507,-3.98624827665462
