"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-1.77206378947523,-1.67516198316515,-2.12073251826416,-2.49000856780225,-2.048136932535,-2.21300052334128,-2.39685497130212,-2.75685270607916,-1.85418720709718,-2.5029450597545,-1.74464035927816,-2.04188500589053,-2.54263044209403,-1.68902167026881,-2.18478602064359,-1.5283106050057,-2.00025605094065,-3.41474109094858
-1.80732610007934,-1.71030250965233,-2.15643302826671,-2.52617317604307,-2.08374620595862,-2.2488169937985,-2.43290250609591,-2.79335267832373,-1.88955272865549,-2.53912592630162,-1.77986820470193,-2.0774864220265,-2.57886118438059,-1.72417961531421,-2.22056703171748,-1.56326657182275,-2.0358051486967,-3.45206788323949
-1.84374311366314,-1.74659787605605,-2.19328774852759,-2.56349147269959,-2.12050979222905,-2.28578754412548,-2.47010386094545,-2.8310059618931,-1.92607283714075,-2.57646046298324,-1.81625079185883,-2.1142421598442,-2.61624554072023,-1.76049238069032,-2.25750216253247,-1.59937758607943,-2.07250862696246,-3.49054705715993
-1.88018413860056,-1.78291741462243,-2.2301659015245,-2.6008325892766,-2.15729693170826,-2.32278137406925,-2.50732819030436,-2.8686816225537,-1.96261682069539,-2.61381779811717,-1.85265743587866,-2.15102146124579,-2.65365262965408,-1.79682929522888,-2.29446061978636,-1.63551301619941,-2.10923573789558,-3.52904751640238
-1.91524846865905,-1.81786044387526,-2.26566669194754,-2.63679563612214,-2.19270684763297,-2.35839766474743,-2.54317462831943,-2.90497870248067,-1.99778395210609,-2.64979703874646,-1.887687437535,-2.18642355106521,-2.68968154808644,-1.83178967391281,-2.33004159180498,-1.67027221822383,-2.14458571696531,-3.56616813506566
-1.94740657488538,-1.84989746045429,-2.29826049875579,-2.6698508946649,-2.22520993813564,-2.39110677074997,-2.57611348102234,-2.93836741262583,-2.03004468072983,-2.6828684628831,-1.91981127511746,-2.21891882908614,-2.72280256354789,-1.86384400972134,-2.36271544063006,-1.7021257275777,-2.17702897495003,-3.60037895034516
-1.97514517209946,-1.8775152055614,-2.32643394184231,-2.69848488426068,-2.25329284287385,-2.41939528684951,-2.60463129313045,-2.96733419969537,-2.05788569902797,-2.71151858636089,-1.94751567091213,-2.24699393666828,-2.75150218106768,-1.891479040083,-2.39096876871579,-1.72956032544394,-2.20505216454314,-3.63016622983363
-1.9971021189013,-1.89935156491996,-2.34882478221291,-2.72133526255298,-2.27559334317329,-2.44190094822554,-2.62736574836143,-2.99051664664166,-2.07994484261378,-2.73438506320232,-1.96943849119498,-2.26928665688726,-2.77441804356015,-1.91333264684175,-2.41343931913907,-1.75121393865039,-2.22729308047245,-3.654167372337
-2.01218114987552,-1.91431030093146,-2.36433665436237,-2.73730555803116,-2.29101509436825,-2.45752736288615,-2.64322040194557,-3.00681820535305,-2.09512582249727,-2.75037141818317,-1.98448347842286,-2.28470064687207,-2.7904536644089,-1.92830858842049,-2.42903070800729,-1.76599037175412,-2.24265539181705,-3.67128564088835
-2.01964035624484,-1.92164953328141,-2.37222754709976,-2.74565365103768,-2.29881610659112,-2.46553249253874,-2.65145316158714,-3.01549667779249,-2.10268670577926,-2.75873552784609,-1.99190873187354,-2.29249391859146,-2.79886690849987,-1.93566498043373,-2.43700090531524,-1.77314778757494,-2.2503971227733,-3.68077864421057
-2.01915079469408,-1.92104034771553,-2.37216841254383,-2.74605038294509,-2.29866735373214,-2.46558726163079,-2.65173489659552,-3.01622282530572,-2.10229852451567,-2.75914822968396,-1.99138531645614,-2.29233744781064,-2.79932860142426,-1.93507290447069,-2.43702084397197,-1.77235731589944,-2.25018926159093,-3.6823169463481
-2.01082241083287,-1.91259271945508,-2.36426908975676,-2.73860547997082,-2.29067869703749,-2.45780148102888,-2.64417536165436,-3.00910629256699,-2.09407119922057,-2.75171924596105,-1.98302318616044,-2.28434109768627,-2.79194845331913,-1.9266423315173,-2.42920034346595,-1.76372897682425,-2.24214168414776,-3.67600999093525
-1.99519451403726,-1.89684598799104,-2.34906877975598,-2.72385802836942,-2.27538936008575,-2.44271432307559,-2.62931367196831,-2.99468608290152,-2.07854401374783,-2.73698765891151,-1.96736165888508,-2.26904409373989,-2.7772655340853,-1.91091259675729,-2.41407858490818,-1.74780215547857,-2.22679362890269,-3.66239657683996
-1.973188796979,-1.87472187656644,-2.32748906521286,-2.7027294943105,-2.25372094845122,-2.42124734133293,-2.60807132309571,-2.9738835782931,-2.05663863486036,-2.71587493062366,-1.94532243595356,-2.2473680435182,-2.75620129329088,-1.88880541906112,-2.392577130762,-1.72549862143506,-2.20506671653579,-3.64239787849087
-1.94602559918873,-1.84744075569267,-2.30075017418406,-2.67643998778835,-2.22689371340033,-2.39462073435828,-2.58166845481327,-2.94791880342246,-2.02957537583286,-2.68960116695584,-1.91812586566413,-2.22053320028645,-2.72997582410623,-1.86154116450906,-2.36591618860533,-1.69803879215547,-2.17818121362166,-3.61723371023318
