"i","j","G_mu_hat","G_mu_true","n_ave"
35,19,0.236052131060413,0.249402925120139,100
36,19,0.208129740936481,0.216211093877893,100
37,19,0.180082587072474,0.183287384370905,100
38,19,0.152115512836326,0.150847656622807,100
39,19,0.124405134704971,0.119086820234513,100
40,19,0.0970972391302217,0.0881770103515741,100
41,19,0.0703064245391424,0.0582661704249117,100
42,19,0.044117563870503,0.0294770589952632,100
43,19,0.0185884805834983,0.00190669087680953,100
44,19,-0.00624677728960418,-0.0243737838821689,100
45,19,-0.0303745885108518,-0.0493187669131971,100
46,19,-0.0537987218309263,-0.0729074749175622,100
47,19,-0.0765378305536213,-0.0951427968941822,100
48,19,-0.0986235105098162,-0.116049769031121,100
49,19,-0.120098776887659,-0.135673697151722,100
50,19,-0.14101669665982,-0.154077962177114,100
1,20,0.0990708958360416,0.0886594149050172,100
2,20,0.134243349143775,0.132287821479793,100
3,20,0.168745666918478,0.175676733510108,100
4,20,0.202456780116142,0.21849938912306,100
5,20,0.235233356483316,0.260429257398637,100
6,20,0.266909794923547,0.301143811371796,100
7,20,0.297299676268658,0.340328277654509,100
8,20,0.326199191936164,0.377679308819795,100
9,20,0.353393054496491,0.412908525730124,100
10,20,0.378663193505749,0.445745878845765,100
11,20,0.401800080963397,0.475942780186186,100
12,20,0.42261581525836,0.503274960998922,100
13,20,0.44095726774498,0.527545014262779,100
14,20,0.45671696986694,0.548584585852833,100
15,20,0.469839356237614,0.566256183450201,100
16,20,0.480320688665254,0.580454578008309,100
17,20,0.48820232837228,0.591107778700151,100
18,20,0.49355852889123,0.598177568672807,100
19,20,0.496481053187508,0.601659595526282,100
20,20,0.497063379686466,0.601583017111314,100
21,20,0.495387102429203,0.598009709900859,100
22,20,0.491512596856136,0.591033053729181,100
23,20,0.485475329160719,0.580776313008827,100
24,20,0.477288396221411,0.567390640531375,100
25,20,0.466950952798963,0.551052735539416,100
26,20,0.454461118619481,0.531962192838211,100
27,20,0.43983095020061,0.510338584217347,100
28,20,0.42310048260298,0.486418317305736,100
29,20,0.404348051525378,0.460451320128372,100
30,20,0.383695149897736,0.432697602022043,100
31,20,0.361305565863196,0.403423743163538,100
32,20,0.337379843368283,0.372899365744026,100
33,20,0.312146707273829,0.341393639776163,100
34,20,0.285852965950233,0.30917187564833,100
35,20,0.258752923832979,0.276492253858101,100
36,20,0.231097961230821,0.243602739892525,100
37,20,0.203126870011187,0.210738229015962,100
38,20,0.175057635438559,0.17811796182889,100
39,20,0.147081345836053,0.145943246935734,100
40,20,0.119358639915908,0.11439552197883,100
41,20,0.092018654898824,0.0836347787400446,100
42,20,0.0651600325766131,0.0537983720700069,100
43,20,0.0388533257011304,0.0250002261716601,100
44,20,0.013144128129778,-0.0026695546609045,100
45,20,-0.0119436480500641,-0.0291446702638003,100
46,20,-0.0364047708360531,-0.0543822097040135,100
47,20,-0.0602501991946298,-0.0783618495665003,100
48,20,-0.0835051415445538,-0.101084683905945,100
49,20,-0.10620751142979,-0.122571710198104,100
50,20,-0.128406508263071,-0.142862001075341,100
1,21,0.0790190873206199,0.0690989372666173,100
2,21,0.114040175991577,0.111774416516846,100
3,21,0.148479843330937,0.154362260983719,100
4,21,0.182229905976792,0.196554658190684,100
5,21,0.215160971291782,0.238041985344684,100
6,21,0.247121881643547,0.278516288185195,100
7,21,0.277940257128484,0.317674770817669,100
8,21,0.30742460591428,0.355223246888722,100
9,21,0.335368550835044,0.390879502901575,100
10,21,0.361557687016023,0.424376525666739,100
11,21,0.38577932969585,0.455465547816655,100
12,21,0.407834841184002,0.483918867954141,100
13,21,0.427553353073493,0.50953240531253,100
14,21,0.444804741611629,0.532127952728871,100
15,21,0.459509104107662,0.551555096209868,100
16,21,0.471640190513738,0.567692774333694,100
17,21,0.481221436714104,0.580450456102419,100
18,21,0.488315071188267,0.589768921555919,100
19,21,0.493006493984371,0.595620635390436,100
20,21,0.495387102429205,0.598009709900859,100
21,21,0.495538761023855,0.596971459691201,100
22,21,0.493522436868648,0.592571556677164,100
23,21,0.489372559891353,0.58490479984376,100
24,21,0.483097703554241,0.574093519927475,100
25,21,0.474687287112971,0.560285644577861,100
26,21,0.464123136512281,0.54365245453423,100
27,21,0.451393928242164,0.524386065852351,100
28,21,0.43650995503192,0.502696677163996,100
29,21,0.419515565422705,0.478809624288355,100
30,21,0.400497206116784,0.452962287187325,100
31,21,0.379586099979002,0.425400896225925,100
32,21,0.356955790706454,0.396377285934862,100
33,21,0.332815605522231,0.36614564495657,100
34,21,0.307401335813942,0.334959310582466,100
35,21,0.280964294276157,0.303067655263439,100
36,21,0.253759726431299,0.270713110715163,100
37,21,0.2260355382633,0.238128372773563,100
38,21,0.198022366096937,0.205533827023915,100
39,21,0.169925924885346,0.173135231479969,100
40,21,0.141922199290727,0.141121688287396,100
41,21,0.114155494532764,0.109663931637502,100
42,21,0.0867388754997758,0.0789129538790883,100
43,21,0.059756258681545,0.0489989862911883,100
44,21,0.0332653899735986,0.0200308452152961,100
45,21,0.0073010559254262,-0.00790435166604485,100
46,21,-0.0181219425202036,-0.0347411000827632,100
47,21,-0.043006312703623,-0.0604350620658585,100
48,21,-0.0673703267938177,-0.0849622698637785,100
49,21,-0.0912462541241211,-0.108317999342634,100
50,21,-0.114678887457239,-0.130515336575312,100
1,22,0.0590612127700599,0.0497708542175871,100
2,22,0.0937280114934249,0.0912098283399996,100
3,22,0.127902483185306,0.132707110215919,100
4,22,0.161488696103066,0.173976884641809,100
5,22,0.19437075841035,0.214729562607154,100
6,22,0.226411976588984,0.254674922558027,100
7,22,0.257454837975657,0.293525296316346,100
8,22,0.287322186449904,0.330998754900813,100
9,22,0.315820078262974,0.366822249338515,100
10,22,0.342742879457688,0.400734662086451,100
11,22,0.367881095792059,0.432489725892064,100
12,22,0.391032075541007,0.461858768792977,100
13,22,0.412012997365006,0.488633246459899,100
14,22,0.430674520501751,0.512627026184541,100
15,22,0.44691248532467,0.53367839045848,100
16,22,0.46067468035958,0.551651732222911,100
17,22,0.471960402179302,0.566438918429001,100
18,22,0.480812277517071,0.577960303463433,100
