"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-3.35596292967831,-2.96694629471073,-2.98841633527052,-3.04211990704621,-3.23131520863829,-3.11352928855052,-3.25689403543919,-3.21320149850762,-3.10038586178624,-3.07543746279759
-3.44307307964407,-3.17127718507968,-3.13122149528177,-3.15769349871084,-3.35504832642896,-3.20727539087434,-3.38905434889236,-3.38856154632826,-3.18584894958117,-3.1897631251549
-3.50640802800354,-3.36661085494649,-3.27532634908991,-3.26970201379219,-3.46198613856157,-3.28934206539884,-3.50659033693536,-3.55694440012604,-3.27909075518291,-3.33049330371151
-3.54031226713978,-3.53593235739188,-3.40518347988697,-3.36705235940733,-3.54282915561039,-3.35341416893146,-3.59872724443384,-3.70189603186056,-3.36792574718326,-3.48140031832616
-3.54240741075992,-3.66506015942462,-3.50680017839979,-3.44077564140236,-3.59157528828158,-3.39623747624003,-3.65766458359052,-3.80912818351076,-3.44051277539247,-3.62470509265068
-3.51508645807059,-3.74520756274685,-3.57064560711222,-3.48624433795335,-3.60748386396232,-3.41907140630996,-3.6806829239454,-3.86948311989129,-3.48813577363733,-3.7446744490047
-3.46531242233542,-3.77385945557234,-3.59297242568804,-3.50375175204983,-3.59522220880558,-3.42729960990809,-3.67048231921047,-3.88022888886284,-3.50652204806173,-3.82988100565486
-3.40317004971666,-3.75429270322916,-3.5758105110512,-3.49780910201607,-3.56360585154854,-3.42870526450293,-3.63414660748237,-3.84494415989517,-3.49595411097757,-3.87425889463903
-3.33986569877963,-3.69431682368634,-3.52611978403646,-3.47575882626562,-3.52361692878148,-3.43121416667694,-3.58139374819004,-3.77249130958902,-3.46065453415233,-3.87730467188883
-3.28562407695119,-3.60458667677645,-3.45435687736047,-3.44606736247937,-3.48616173947539,-3.44068410489904,-3.5225451622033,-3.67535182880909,-3.40768502699236,-3.8435453142587
-3.24775740147363,-3.49670168525002,-3.37258924312449,-3.41651310780237,-3.45987346131926,-3.45912931999867,-3.46649209141151,-3.56748311380859,-3.34547129546838,-3.78129690950345
