"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-3.29797710185756,-3.36673445031922,-3.29498986353281,-3.41324764366943,-3.51838687415213,-3.47035538479076,-3.45022953847359,-3.42013070401627,-3.10429049592301,-3.4832917873452
-3.30782285838219,-3.34619630455829,-3.31340431067803,-3.41745804815948,-3.52576485954173,-3.43081139442008,-3.42622149651568,-3.43060944969822,-3.12572119787819,-3.51161608304962
-3.31602409463913,-3.32973674403866,-3.33937519194322,-3.42876813842825,-3.52892975137235,-3.38300829301205,-3.3996644128274,-3.43985856443665,-3.15902984865602,-3.54952765877188
-3.31967193550733,-3.31464109136742,-3.36924048933968,-3.4434471582074,-3.52698332648068,-3.33007774557995,-3.37152775366977,-3.44341955878373,-3.19948548686694,-3.58815129346979
-3.31587680441312,-3.29734012287289,-3.39852492137317,-3.45665046819123,-3.51931863799066,-3.27637421772384,-3.34298362607598,-3.43756003545775,-3.24203832650758,-3.61916899614625
-3.30226772101331,-3.27399925109511,-3.42261402429795,-3.46324148269505,-3.50568560276557,-3.22696649466937,-3.31527024471772,-3.41991157228298,-3.28203306875658,-3.63615154272529
-3.2774728687321,-3.24111353864766,-3.4374244790385,-3.45867216461379,-3.48621503032335,-3.18688315128863,-3.28949697215689,-3.38985029733882,-3.31573688533654,-3.63539194527064
-3.24149895833364,-3.19604433819928,-3.43998379713204,-3.43979072953704,-3.46141269217044,-3.1602458898485,-3.26643942304628,-3.34857944283887,-3.34063508718912,-3.61615751886675
-3.19593526757471,-3.13744888758692,-3.42885115001179,-3.40545609961009,-3.43213575396031,-3.14945733935568,-3.24637909283931,-3.29892560058035,-3.35550178052485,-3.58039983685176
-3.14393004358056,-3.06556897433536,-3.40433496869717,-3.35686572019512,-3.39956006841185,-3.15461021528462,-3.22903482487047,-3.24490457032859,-3.36029450318686,-3.5320601729147
-3.08991957348392,-2.98235640565046,-3.36848806477135,-3.29754255317356,-3.36514015591561,-3.17325202921844,-3.21361452054987,-3.1911419122045,-3.35594313297278,-3.47616431723995
-3.03912901185943,-2.89142162287597,-3.32488482000242,-3.23297331949667,-3.33055665501668,-3.20057945426178,-3.19898883230016,-3.142244778457,-3.34410261486653,-3.41790865183485
-2.9969029867819,-2.79779964040247,-3.27820623542405,-3.16993785940103,-3.29764120511281,-3.23005978829659,-3.18395995886035,-3.10221632663812,-3.32692051008669,-3.36190432969738
-2.96795660000777,-2.7075377084243,-3.23367701828071,-3.11561322733599,-3.26826816542522,-3.25439765461988,-3.16757444216246,-3.07398593627051,-3.3068423929302,-3.3116824280946
-2.95565774776569,-2.62712421068674,-3.19641433149272,-3.07657052407979,-3.24420719505725,-3.26669774024435,-3.14941461082846,-3.05910305197691,-3.28645060399455,-3.26948870494958
-2.96145534162281,-2.56279883242066,-3.17075977881829,-3.05780280011297,-3.22694000342557,-3.26163167762727,-3.12980260879444,-3.0576153365867,-3.26831344155005,-3.23633043996391
-2.9845530832804,-2.51980773192442,-3.15967325001674,-3.0619250700028,-3.21745661184045,-3.23640759317225,-3.10986457071073,-3.06812740819807,-3.25481763054197,-3.21219356328762
-3.02189603129439,-2.50168948939435,-3.16426730185289,-3.08867073125426,-3.21605830574298,-3.1913670541442,-3.09142820509658,-3.0880174554362,-3.24796727339602,-3.19633244276676
-3.06849149184852,-2.50969161968394,-3.18355160740021,-3.13477304245017,-3.22220280477501,-3.13009240795753,-3.07675991675888,-3.11377631232416,-3.24915334154628,-3.18754602645664
-3.11803361927463,-2.54241727132225,-3.21443731513512,-3.19426919070485,-3.23442917752861,-3.05898819009342,-3.06818104875891,-3.14142653256794,-3.25892185337219,-3.18438475181424
-3.16375100433289,-2.59578341447877,-3.25202133861957,-3.25920414890329,-3.25039402292693,-2.98638947625998,-3.06762993057031,-3.16697632631199,-3.27678800468595,-3.18527132280754
-3.19935713857805,-2.66333510698183,-3.29013340901591,-3.32065058181248,-3.26703648403153,-2.9213320459686,-3.07625138402949,-3.18686361613466,-3.30115089047812,-3.18855343671764
