"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-3.08240110896299,-3.07066124791248,-3.15219799358719,-3.13688171188569,-3.40375059360658,-3.033934077491,-3.21260309707702,-3.23493756205761,-2.90905054038578,-3.43437571304206
-3.10083009211185,-3.12793774706012,-3.17959437136463,-3.15465739499455,-3.41167684869666,-3.03307772140651,-3.22315254973176,-3.20999852472031,-2.87969545422188,-3.40511029986295
-3.12819679294378,-3.15614626614445,-3.19777453304876,-3.17579146765207,-3.42135699425733,-3.05112943319555,-3.25277276083264,-3.20160056685208,-2.86419251018263,-3.3898493976673
-3.15691032115571,-3.14757960121801,-3.2040292175824,-3.19733848248093,-3.43309075834919,-3.08136010522816,-3.29648699434518,-3.20833079918561,-2.86526497837233,-3.39100413396986
-3.18088376107981,-3.10306119034645,-3.19748573659465,-3.21595095221576,-3.44767555105296,-3.11511574640423,-3.34898889778874,-3.2251823611172,-2.88107751364768,-3.41166893212451
-3.19132969755212,-3.02239556005736,-3.17806983666908,-3.22827807424884,-3.46089337021421,-3.13999730003824,-3.39544262352911,-3.24681207365802,-2.91216602966907,-3.4378844704009
-3.18166152816495,-2.90997645145426,-3.14710694377931,-3.23159483252409,-3.46852541280907,-3.14477098692251,-3.42205327794697,-3.26723550598122,-2.95704155188126,-3.45543302253139
-3.15187579629728,-2.78145446376986,-3.10853025429389,-3.22432276107598,-3.46864300832082,-3.12218820652253,-3.42167035972947,-3.27887120235817,-3.0081850454225,-3.45755922998322
-3.10214404586542,-2.64852146503238,-3.06648054434779,-3.20628089044406,-3.45639600873858,-3.06727995702167,-3.38466901507146,-3.27733082835188,-3.06165346528872,-3.42845477142454
-3.04342194136733,-2.53592487223528,-3.02731045113508,-3.17916658717986,-3.43497946575122,-2.98513424063211,-3.3202576878478,-3.25778470312621,-3.10473022881922,-3.37941581180468
-2.98482563763046,-2.45814185460471,-2.9960210118088,-3.14599739461693,-3.40507277495148,-2.88360200264961,-3.23557408454781,-3.22053679036325,-3.13128913204152,-3.31390909358838
-2.93196122755551,-2.41842014175,-2.97581861445827,-3.11044101515838,-3.36462069490696,-2.77112217448336,-3.13360699717537,-3.17023624179655,-3.14216883586789,-3.2258420721319
-2.89972729997076,-2.42882180627368,-2.97036326782402,-3.07744964691352,-3.32236380597084,-2.66660995752787,-3.03981184832384,-3.11169880838095,-3.13033352188511,-3.14506410131353
-2.88649034982203,-2.47233457335149,-2.97863061228737,-3.05083558734474,-3.27398954414574,-2.57832043416986,-2.95229781660235,-3.05594900513872,-3.10782206033576,-3.05627468842083
-2.89918672770846,-2.54410631787095,-2.99998402475187,-3.03444349098421,-3.22756231559217,-2.52204649013478,-2.89175389233222,-3.01118717252752,-3.07609229285912,-2.9842381339324
-2.94778127738199,-2.64851037596507,-3.03423864562594,-3.03094409054542,-3.1965250083551,-2.51299113654911,-2.88603453369599,-2.98123434025546,-3.02961983701607,-2.96939916844522
-3.0100708290733,-2.73922448128348,-3.07313206203248,-3.03987530350248,-3.16848830931923,-2.54256097667205,-2.90780658838911,-2.97854640681958,-2.99665278145102,-2.96445769149938
-3.08389199395127,-2.80936596755942,-3.11310167534286,-3.06031096528947,-3.15138479549191,-2.61219463666269,-2.96688072095759,-3.00404684021702,-2.97789901219766,-2.98881532268466
-3.154057239061,-2.8364118790403,-3.14798084136673,-3.08914131174249,-3.14188757220126,-2.71038482146347,-3.04790803864427,-3.05903920906785,-2.98506687863216,-3.02395038338862
-3.21444036497253,-2.82203129560598,-3.17519387454901,-3.12223983851191,-3.14265191255793,-2.82553745803452,-3.14554100957798,-3.13606561512416,-3.01490050866932,-3.0712839443267
-3.26055160724298,-2.77604030684411,-3.19363174550494,-3.15478860683651,-3.15502214789166,-2.94316639243872,-3.25181033447846,-3.22385081316666,-3.059936522863,-3.1294853338419
-3.28461924591847,-2.7006370459198,-3.20108777751696,-3.18217283038461,-3.17609201238951,-3.04767616064562,-3.35262609505049,-3.31338195210008,-3.1177342099168,-3.18690327506035
-3.28304702048117,-2.60832580881553,-3.19813049988945,-3.20026084934352,-3.19983019040369,-3.12296438254238,-3.430962387239,-3.3930047935902,-3.18158852616515,-3.22468219862098
-3.25690732992404,-2.51323075949035,-3.18568171456842,-3.20643262570916,-3.2233165353346,-3.16003196423642,-3.47993151465167,-3.45315910722426,-3.24303670657483,-3.23881945712788
-3.21662705935572,-2.44294005746549,-3.16781899509101,-3.19981426321094,-3.24639584189792,-3.15674751356023,-3.50288448276129,-3.48318594441655,-3.28619600881428,-3.23815628612983
