"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-2.78838774681117,-2.71938699648438,-2.92203630578009,-3.12979646487457,-3.56491084151035,-3.93320147808222,-3.8635970108962,-3.30988256566421,-2.90566462150356,-3.78244537302297,-2.82741276648307,-2.86460474041206,-3.2473928977466,-3.02000817423689,-3.46313632152087,-2.78151375826142,-3.04266196099728,-3.5885508707404
-2.87264076726849,-2.75263569113241,-2.99532561509362,-3.18634421460476,-3.63276968555562,-4.06411829709813,-3.84523964983464,-3.39490559769464,-2.92717561336355,-3.87040133354575,-2.92021669821152,-3.08920356335885,-3.37928650014754,-2.98794703097259,-3.54479582688321,-2.82358001521664,-3.14009014445056,-3.78828403221275
-2.93867508965061,-2.76350549952045,-2.98431094398236,-3.26431155234652,-3.62241261216274,-4.12356075504161,-3.75382533106662,-3.45270729172493,-2.91801367457148,-3.86101166981307,-2.97946111536397,-3.33173027163855,-3.49352388203173,-2.92356378458398,-3.60391820427969,-2.78834737032668,-3.19384325702463,-4.02080983281929
-2.97493702043784,-2.75375646859526,-2.89595170630205,-3.34528240646828,-3.54076534758013,-4.0966987090711,-3.60841813997256,-3.47202569970325,-2.8807763620742,-3.76187319311165,-2.99737405606365,-3.55044007646948,-3.57931988436839,-2.83979492349811,-3.63143268410268,-2.68277933459824,-3.19603068628134,-4.24634275506602
-2.97442658424198,-2.73204651764625,-2.75607633358956,-3.40933706281881,-3.41029026299262,-3.97814378351981,-3.44497892524328,-3.44820986498869,-2.8260279562966,-3.60254277004726,-2.97368354176112,-3.70020628037212,-3.63479168226998,-2.75636516141062,-3.62467724286233,-2.52804003820502,-3.14684650934089,-4.41959279467745
-2.93469014318055,-2.70453932796192,-2.59219122738739,-3.44551533544984,-3.25412107103948,-3.77807685050093,-3.29391576161861,-3.386974801565,-2.76029257967355,-3.41027692611876,-2.9126977529559,-3.75556895187245,-3.65485238998609,-2.69032233295519,-3.58778867860768,-2.34943607003852,-3.05480602767755,-4.51233695177609
-2.85932731863134,-2.68059579808614,-2.44020087295306,-3.44645375136448,-3.10198690326157,-3.51654335089416,-3.18974664359588,-3.30013096266784,-2.69389501337608,-3.22279664853365,-2.82499843980302,-3.69949442699934,-3.64212747664714,-2.65833844360693,-3.53077388665061,-2.17803846028008,-2.93452315851891,-4.50362691339683
-2.75599314665015,-2.66041804965683,-2.32081085240347,-3.41958516386681,-2.97018811143941,-3.2276975855878,-3.14240409801427,-3.20780093821907,-2.62538847011491,-3.05578661370202,-2.72185850817292,-3.54836350237611,-3.59011315519341,-2.66524925944975,-3.46764516898771,-2.03653311489042,-2.80493745997888,-4.40452040029589
-2.63643194674023,-2.64212570819726,-2.24796544821171,-3.37854004320829,-2.8692902608785,-2.95031788828719,-3.15070167294795,-3.13170284133763,-2.55131921416404,-2.91864140649651,-2.61608878981638,-3.33377441594553,-3.495251462973,-2.70850622591593,-3.41372520063995,-1.94159318433423,-2.68559210596036,-4.24156487135454
-2.51424510955364,-2.61819475031768,-2.22025788646789,-3.34444851482129,-2.79718939946065,-2.72484771783633,-3.19395789471311,-3.0930248241073,-2.46202677919762,-2.80386276555298,-2.51874589809081,-3.10576859427649,-3.35191785447427,-2.77525835078175,-3.38280865490998,-1.89800089378445,-2.59386011046542,-4.06033059231649
-2.40390354044171,-2.5832956444446,-2.23209087851219,-3.33599664219401,-2.7491478625618,-2.58346587360511,-3.24906628349939,-3.10609078182607,-2.35211275203956,-2.70518232267752,-2.43995901577293,-2.91127142351828,-3.16375528066462,-2.84935750200046,-3.38453809583218,-1.9035920222724,-2.54189843976157,-3.90496839339265
-2.31839566756775,-2.53359338787998,-2.27198504531487,-3.36806461579619,-2.71662734148973,-2.54681399393892,-3.29038614144361,-3.17682483703294,-2.21953072260852,-2.6149691598552,-2.38699238893199,-2.79091492163624,-2.94108404844636,-2.91257542349468,-3.42259297088552,-1.94845418806311,-2.53525095740342,-3.81488115154266
-2.26824299133386,-2.47365220380578,-2.33473797762029,-3.44347696877903,-2.69786001092476,-2.61742988230046,-3.30681088355546,-3.29938290755819,-2.07432465081763,-2.54121243020243,-2.36561092350355,-2.76050989748036,-2.70916875250554,-2.95238300726765,-3.49390079341374,-2.02202286593191,-2.57202757364255,-3.80651603324306
-2.25921188291339,-2.41071341708742,-2.41388676607145,-3.55773896745646,-2.6912268437931,-2.78317868460819,-3.29242946565126,-3.45953284924898,-1.93068173448015,-2.49373507525339,-2.3775857795213,-2.82058370678185,-2.49692798022956,-2.96003824510449,-3.58910938838219,-2.11069832740777,-2.64414466556595,-3.88179265373012
-2.29267271968429,-2.36164385214923,-2.51590275225117,-3.69214104681278,-2.70713777572883,-3.01427069382233,-3.26446914147233,-3.63377686429891,-1.81534738951527,-2.50254440868582,-2.42350622758594,-2.940398773419,-2.34496075946094,-2.93836185228153,-3.694076416586,-2.20694099738626,-2.73847415758114,-4.01233164727475
-2.36392703653623,-2.3402008888708,-2.64226579940152,-3.82669673152425,-2.75206525242677,-3.27445541930975,-3.23886559002754,-3.79754463177339,-1.75034091641936,-2.58763492397817,-2.49912986493652,-3.08521360531772,-2.28408349985046,-2.89346068346286,-3.79228665781718,-2.30191487014297,-2.83999906753244,-4.16509754653196
-2.46322347753627,-2.3569196362238,-2.79225247519046,-3.94127022487803,-2.8303198197864,-3.52500416512331,-3.23213147824136,-3.92820433587816,-1.75219149179143,-2.76045946739453,-2.59676228038367,-3.21790380000771,-2.33382066526768,-2.83541936107818,-3.86758844550261,-2.38844748197664,-2.93410572604239,-4.3039599084947
-2.57675857014915,-2.41447772857286,-2.95768963175616,-4.02140655500196,-2.93889535729985,-3.73195457863875,-3.25252995577065,-4.00967336010873,-1.82545544118092,-3.01416147160386,-2.70523789368677,-3.31106926098277,-2.4949655564611,-2.7744072883916,-3.90687521192654,-2.45932528123915,-3.008924734461,-4.40156258877765
-2.68828363012997,-2.50455780502127,-3.11929539401326,-4.06282125798214,-3.06376547736524,-3.87215777950227,-3.29326136433892,-4.03569919625495,-1.95843383120537,-3.3173357950297,-2.81043429623455,-3.35650518999269,-2.74538735805036,-2.71698774418466,-3.90225074224228,-2.50573657247666,-3.05699607717002,-4.44890039053414
